State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date,Station Type
PR,BARCELONETA POLICE DEPT,4940-00-294-9517,"SHOP EQUIPMENT,ELECTRICAL EQUIPMENT",1,Set,145394,Q,3,2011-12-03 00:00:00,State
PR,BARCELONETA POLICE DEPT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,41061,Q,6,2012-03-16 00:00:00,State
PR,BARCELONETA POLICE DEPT,4940-01-154-3957,"SHOP EQUIPMENT,ELECTRONIC EQUIPMENT",1,Each,450546,B,0,2018-09-18 00:00:00,State
PR,BARCELONETA POLICE DEPT,1240-01-562-9459,"RANGE FINDER,LASER",9,Each,399.81,D,1,2018-06-29 00:00:00,State
PR,BARCELONETA POLICE DEPT,1240-01-562-9459,"RANGE FINDER,LASER",1,Each,399.81,D,1,2018-06-29 00:00:00,State
PR,BARCELONETA POLICE DEPT,2320-01-107-7156,"TRUCK,UTILITY",1,Each,43376,Q,6,2015-03-06 00:00:00,State
PR,BARCELONETA POLICE DEPT,2320-01-128-9551,"TRUCK,UTILITY",1,Each,50458,C,1,2012-02-23 00:00:00,State
PR,BARCELONETA POLICE DEPT,2320-01-128-9551,"TRUCK,UTILITY",1,Each,50458,C,1,2012-02-23 00:00:00,State
PR,BARCELONETA POLICE DEPT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,41061,Q,6,2012-02-02 00:00:00,State
PR,BARCELONETA POLICE DEPT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,41061,Q,6,2012-02-02 00:00:00,State
PR,BAYAMON MUNICIPAL POLICE,7010-01-601-7577,"COMPUTER SYSTEM,DIGITAL",5,Each,1242.68,D,1,2015-11-12 00:00:00,State
PR,BAYAMON MUNICIPAL POLICE,1240-01-297-8167,"TELESCOPE,ARTICULATED",1,Each,129.5,D,1,2016-06-22 00:00:00,State
PR,BAYAMON MUNICIPAL POLICE,2320-01-107-7155,"TRUCK,UTILITY",1,Each,41061,Q,6,2015-06-04 00:00:00,State
PR,BAYAMON MUNICIPAL POLICE,2320-01-107-7155,"TRUCK,UTILITY",1,Each,41061,Q,6,2015-06-04 00:00:00,State
PR,BAYAMON MUNICIPAL POLICE,1240-01-297-8167,"TELESCOPE,ARTICULATED",2,Each,129.5,D,1,2016-06-22 00:00:00,State
PR,CABO ROJO POLICE DEPT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,41061,Q,6,2014-02-28 00:00:00,State
PR,CAGUAS MUNICIPAL PD,2320-01-107-7155,"TRUCK,UTILITY",1,Each,41061,Q,6,2012-05-01 00:00:00,State
PR,CAGUAS MUNICIPAL PD,2320-01-128-9551,"TRUCK,UTILITY",1,Each,50458,C,1,2012-05-01 00:00:00,State
PR,CAMUY MUNICIPALITY PD,2320-01-107-7155,"TRUCK,UTILITY",1,Each,41061,Q,6,2011-10-18 00:00:00,State
PR,CAMUY MUNICIPALITY PD,2320-01-128-9551,"TRUCK,UTILITY",1,Each,50458,C,1,2011-10-24 00:00:00,State
PR,CAMUY MUNICIPALITY PD,2320-01-128-9551,"TRUCK,UTILITY",1,Each,50458,C,1,2011-10-24 00:00:00,State
PR,CAMUY MUNICIPALITY PD,2320-01-107-7155,"TRUCK,UTILITY",1,Each,41061,Q,6,2011-10-18 00:00:00,State
PR,CAMUY MUNICIPALITY PD,2320-01-107-7155,"TRUCK,UTILITY",1,Each,41061,Q,6,2011-10-05 00:00:00,State
PR,CAMUY MUNICIPALITY PD,2320-01-107-7155,"TRUCK,UTILITY",1,Each,41061,Q,6,2011-10-05 00:00:00,State
PR,CAROLINA MUNICIPAL POLICE DEPT,2320-01-128-9551,"TRUCK,UTILITY",1,Each,50458,C,1,2012-04-03 00:00:00,State
PR,CAROLINA MUNICIPAL POLICE DEPT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,41061,Q,6,2012-04-03 00:00:00,State
PR,CAROLINA MUNICIPAL POLICE DEPT,2320-01-128-9551,"TRUCK,UTILITY",1,Each,50458,C,1,2012-04-03 00:00:00,State
PR,CAROLINA MUNICIPAL POLICE DEPT,2320-01-128-9551,"TRUCK,UTILITY",1,Each,50458,C,1,2012-05-01 00:00:00,State
PR,CAROLINA MUNICIPAL POLICE DEPT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,41061,Q,6,2012-04-03 00:00:00,State
PR,CAROLINA MUNICIPAL POLICE DEPT,4220-00-541-3885,DIVING EQUIPMENT SET,6,Set,3629,F,1,2015-08-18 00:00:00,State
