state,station_name,nsn,item_name,quantity,ui,acquisition_value,demil_code,demil_ic,ship_date,station_type,org_ship_date,file_date,book_name,sheet_name
TX,AUSTIN POLICE DEPT,5855-01-246-6807,"MOUNT ASSEMBLY,OBJE",1,Each,158.62,D,1,2014-03-18,,2014-03-18 11:55:31.999296,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,5855-01-246-6807,"MOUNT ASSEMBLY,OBJE",1,Each,158.62,D,1,2014-03-18,,2014-03-18 11:55:31.999296,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,5855-01-246-6807,"MOUNT ASSEMBLY,OBJE",1,Each,158.62,D,1,2014-03-18,,2014-03-18 11:55:31.999296,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,5855-01-246-6807,"MOUNT ASSEMBLY,OBJE",1,Each,158.62,D,1,2014-03-18,,2014-03-18 11:55:31.999296,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,5855-01-246-6807,"MOUNT ASSEMBLY,OBJE",1,Each,158.62,D,1,2014-03-18,,2014-03-18 11:55:31.999296,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,5855-01-246-6807,"MOUNT ASSEMBLY,OBJE",1,Each,158.62,D,1,2014-03-18,,2014-03-18 11:55:31.999296,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,5855-01-246-6807,"MOUNT ASSEMBLY,OBJE",1,Each,158.62,D,1,2014-03-18,,2014-03-18 11:55:31.999296,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,5855-01-246-6807,"MOUNT ASSEMBLY,OBJE",1,Each,158.62,D,1,2014-03-18,,2014-03-18 11:55:31.999296,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,5855-01-381-6052,COMPASS ASSEMBLY,44,Each,67.22,B,3,2014-03-18,,2014-03-18 11:55:31.999296,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,6130-01-476-0943,POWER SUPPLY ASSEMBLY,16,Each,264.94,B,3,2014-03-18,,2014-03-18 11:55:31.999296,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,5855-01-246-6807,"MOUNT ASSEMBLY,OBJE",1,Each,158.62,D,1,2014-03-18,,2014-03-18 11:55:31.999296,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,5855-01-246-6807,"MOUNT ASSEMBLY,OBJE",1,Each,158.62,D,1,2014-03-18,,2014-03-18 11:55:31.999296,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,5855-01-246-6807,"MOUNT ASSEMBLY,OBJE",1,Each,158.62,D,1,2014-03-18,,2014-03-18 11:55:31.999296,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,5855-01-246-6807,"MOUNT ASSEMBLY,OBJE",1,Each,158.62,D,1,2014-03-18,,2014-03-18 11:55:31.999296,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,5855-01-246-6807,"MOUNT ASSEMBLY,OBJE",1,Each,158.62,D,1,2014-03-18,,2014-03-18 11:55:31.999296,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,5855-01-246-6807,"MOUNT ASSEMBLY,OBJE",1,Each,158.62,D,1,2014-03-18,,2014-03-18 11:55:31.999296,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,5855-01-246-6807,"MOUNT ASSEMBLY,OBJE",1,Each,158.62,D,1,2014-03-18,,2014-03-18 11:55:31.999296,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1615-01-214-9165,"PLATE,ADAPTER",2,Each,62.22,B,3,2016-01-20,,2016-01-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2010-11-16,,2010-11-16 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2010-11-16,,2010-11-16 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2010-11-16,,2010-11-16 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2010-11-16,,2010-11-16 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2010-11-16,,2010-11-16 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2010-11-16,,2010-11-16 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2010-11-16,,2010-11-16 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2010-11-16,,2010-11-16 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2010-11-16,,2010-11-16 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2010-11-16,,2010-11-16 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2010-11-16,,2010-11-16 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2010-11-16,,2010-11-16 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2010-11-16,,2010-11-16 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2010-11-16,,2010-11-16 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2012-01-24,,2012-01-24 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2009-11-19,,2009-11-19 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2009-11-19,,2009-11-19 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2009-11-19,,2009-11-19 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2009-11-19,,2009-11-19 00:00:00,2016-04-04,all-states,Texas
